,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
175,KFC,"['Fast Food', 'Chicken Shop']",276,114 boulevard de Plombières,43.317285,5.382382,1,1.0
176,Freddy,"['Italian', 'Pizza']",172,140 rue Sainte-Cécile,43.2888534287623,5.39834034854891,12,4.5
177,Pizza Zazza,['Pizza'],139,244 boulevard Baille,43.289611,5.398006,11,4.0
178,TA&CO,"['Mexican', 'Latin American']",62,198 boulevard Baille,43.288973,5.395759,4,4.5
179,Le Troquet,"['Bars', 'French']",16,17 place Pierre Roux,43.285828,5.394834,5,4.0
180,Bistrot Alexandre,['Provencal'],969,31 bd Charles Moretti,43.324891,5.382679,13,4.0
181,Bistrot Alexandre,"['Modern European', 'French']",997,Station Alexandre,43.32546,5.38108,2,4.5
182,La Jonque Viet,['Chinese'],84,28 rue Maréchal Fayolle,43.3004,5.39844,19,4.0
183,Restaurant Pizzeria Chez Dédé,['Pizza'],163,60 rue George,43.296,5.39775,21,4.0
184,Mc Donald's,"['Burgers', 'Fast Food']",20,75 bd de la Blancarde,43.2956641645398,5.39988475300423,6,2.0
185,Il Piccolo,['Italian'],37,187 bd Baille,43.2901624776528,5.39931854974146,12,4.0
186,Spok,['Sandwiches'],142,1 rue Crillon,43.2900886754506,5.39793033743535,6,4.0
187,Le Majestic,['Vietnamese'],274,211 rue Saint-Pierre,43.2925257,5.3978772,17,4.0
188,Hedonia,['Coffee & Tea'],35,222 rue Saint Pierre,43.29244,5.40092,4,4.5
189,Hoang,"['Chinese', 'Vietnamese']",227,73 bd Jeanne d'Arc,43.2934566832718,5.40375235519059,7,4.0
190,L'Horloge du Cap Est,"['French', 'Breakfast & Brunch', 'Cafes']",585,10 boulevard Fernand Bonnefoy,43.2819252,5.4007871,9,5.0
191,Simba Pizzas,"['Pizza', 'Sandwiches']",131,83 Avenue Des Chartreux,43.30608,5.39948,3,4.5
192,Italia Pizza,['Pizza'],86,35 rue de la Carrière,43.31957,5.38248,2,4.5
193,Il Topolino,['Restaurants'],39,59 Chemin De L Argile,43.28113,5.39649,4,4.5
194,Parc du 26ème Centenaire,['Parks'],130,Avenue de Corinthe,43.280618,5.395023,59,4.0
195,La Villa,"['French', 'Seafood', 'Pizza']",1176,113 rue Jean Mermoz,43.2728089,5.3870643,131,3.5
196,Bar des Amis,['Restaurants'],184,41 boulevard Burel,43.3162,5.38884,1,4.0
197,Mazza Le Fournil du Burel,['Bakeries'],267,56 rue Docteur Léon Perrin,43.31527,5.38916,1,4.0
198,Au quai 68,"['Cafes', 'Sandwiches', 'Coffee & Tea']",81,336 bd Chave,43.29603,5.40505,4,4.5
199,Pizza Florentina,['Pizza'],147,376 rue Saint-Pierre,43.2914515705657,5.41007347420498,5,4.0
200,KFC,"['Fast Food', 'Chicken Shop']",1085,Centre Commercial Le Merlan,43.32955,5.40269,1,5.0
201,La Table du Boulanger,"['Bakeries', 'Restaurants']",495,161 Chemin Gibbes,43.3257,5.38339,3,3.0
202,Le Comptoir de la Palmeraie,['French'],406,22 bd Charles Moretti,43.32437,5.3839,2,3.0
203,Le Fiacre 26 Rue Broussant 30600 Vauvert,['Restaurants'],410,Avenue Sainte-Marthe,43.3272624,5.3876823,1,4.0
204,Coquillages Henry,"['Seafood', 'Seafood Markets']",12,2 Rue Montaigne,43.30425,5.41303,13,4.0
205,Azumi Sushi,"['Sushi Bars', 'Food Delivery Services', 'Japanese', 'Fast Food']",82,49 ave de St Barnabé,43.30416,5.41188,19,4.5
206,Chez Jean-Louis,"['Pizza', 'French']",224,29 ave de Saint-Julien,43.30471,5.41558,24,4.0
207,Shangai Express,['Fast Food'],190,19 ave de Saint Julien,43.30458,5.41519,17,4.0
208,Le Terminus,['Brasseries'],461,2 place du Caire,43.303731,5.418572,26,4.0
209,Sushi Shop,"['Sushi Bars', 'Japanese']",82,1 ave Saint Julien,43.3045006,5.4138799,9,3.0
210,Boulangerie Montaigne,['Bakeries'],242,109 Rue Montaigne,43.30405,5.4159,4,4.5
211,Coquillages Henry Dégustation,['Seafood'],202,21 Avenue de Saint Julien,43.304603,5.415341,4,3.0
212,Brasserie du Village,['Brasseries'],113,7 Rue Léon Meisserel,43.30485,5.41855,14,3.5
