,Id,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
57,LNW8pvVArKkCYg_SM0WfXQ,Vanille Noire,['Ice Cream & Frozen Yogurt'],188,13 rue Caisserie,43.2972984,5.36871,43,4.5
58,mkv2IP7wFoOl6fU45HrCqA,Le Souk,['Moroccan'],95,98 quai Port,43.29606,5.36853,25,4.0
59,7T5qFvxKuQCtIi7lIWFNUw,Bar des 13 Coins,"['Bars', 'Cafes', 'Mediterranean']",253,45 rue Sainte-Françoise,43.299392,5.366495,36,4.0
60,d7DPeMG-Xd-bgAimxP0g6g,Côté Rue,['French'],30,14 Rue St Pons,43.297341879079,5.3661457212746,19,4.5
61,E9TLfdXTV5hVR2FucFhmSA,Au Lamparo,['Mediterranean'],45,4 place de Lenche,43.29757,5.36582,44,3.5
62,rCGAq1AU-l9YzIXQnU02Fw,César Place,"['Modern European', 'French', 'Farmers Market', 'Mediterranean']",64,21 place aux Huiles,43.29283,5.372,131,4.0
63,P8lycs-He3pcX9T3XZYlaw,La Côte de Boeuf,"['Barbeque', 'Steakhouses', 'Provencal']",123,35 cours Honoré d'Estienne d'Orves,43.29227,5.37219,195,4.0
64,3oHgqULE2o6whNFD1Rpa4Q,Nul Part Ailleurs,['Provencal'],93,18 quai Rive Neuve,43.2931621,5.3704376,145,3.5
65,xJwv3DT4KrCuLcFZ9KOiqQ,Douceur Piquante,"['French', 'African']",107,17 rue de l'Eveché,43.298262,5.365831,10,4.0
66,j62tK8kS8TigYmhO_IxC4Q,Centre de la Vieille Charité,"['Landmarks & Historical Buildings', 'Museums']",217,2 rue de la Charité,43.30013,5.36777,47,4.5
67,jYZmWiY5hdvlzJOHD7Eoow,Le Clan des Cigales,['Mediterranean'],257,8 rue Petit Puits,43.3000104571308,5.36852718837072,18,4.0
68,ErrRpZz1Pk9xo_cGnkh-hw,Le Taxi Brousse,"['Dance Clubs', 'African']",296,21 rue Observance,43.30096,5.3675,35,3.5
69,0gmNEf9PuzKm55Pm0oIhsw,MuCEM,['Museums'],255,7 promenade Robert Laffont,43.296824,5.360513,70,4.0
