,Id,Name,Category,Distance,Address,Latitude,Longitude,review_count,rating
102,nz4C7lllIxIH_-d0vrNG-w,Corniche Kennedy,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'hiking', 'title': 'Hiking'}]",131,Corniche John Fitzgerald,43.2753878035253,5.35979576450515,29,4.5
103,x3MJvhMflY9zWYxxIpCyqg,Le Sunset,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}]",99,315 corniche Kennedy,43.27558,5.35984,8,4.0
104,72YsfpjeCvaqXjJ1hdLc5Q,L'Epuisette,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",1317,156 Rue Vallon Des Auffes,43.28514,5.35036,145,4.5
105,wOSIB3vmbZ-vbDrUQhbheQ,L'Eau à la Bouche,"[{'alias': 'pizza', 'title': 'Pizza'}]",1143,120 corniche du Président Kennedy,43.28291,5.35037,52,4.0
106,PzZDS3aW7dNFsKFlBb8vXA,Zia Concetta,"[{'alias': 'trattorie', 'title': 'Trattorie'}, {'alias': 'importedfood', 'title': 'Imported Food'}]",107,315 corniche Kennedy,43.2755997,5.3599532,7,3.5
107,eTTL7338IzdKlbpKpOyuqg,Le Parc Valmer,"[{'alias': 'parks', 'title': 'Parks'}]",502,275 corniche John Fitzerald Kennedy,43.27803,5.35529,19,4.5
108,L0M5Lf7mZTnkrwsQtvN4Rw,Le Comptoir Marseillais,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",1322,5 Promenade Georges Pompidou,43.2675,5.37222,59,3.5
109,BOKvD2zWFup_4yQ7X9ktgA,Le Rhul,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'french', 'title': 'French'}]",808,269 Corniche Kennedy,43.270596,5.367413,50,3.5
110,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",169,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
111,_HmsDLwMLKrbmndlNQ7ZoQ,Vinonéo,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",127,6 place Daviel,43.2977099227985,5.36929702883606,56,4.5
112,m5ERA2E2b07Dm5DSwj_cKA,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",235,12 quai du Port,43.2965,5.373197,143,3.5
113,dcG-CXh6Gdi7kxRp472uiQ,L'Hippocampe,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",222,14 quai du Port,43.296557,5.373062,13,4.0
114,hzeFLbv6RsGfVB3C9MJ5Nw,Carmine,"[{'alias': 'italian', 'title': 'Italian'}]",317,134 quai du Port,43.296061,5.36774,54,4.0
115,CSFc59c3-zGbD-cwFa1pSA,Une Table au Sud,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",273,1 Rue République,43.2963958166187,5.37366704830174,48,4.0
116,i1aD9BdALxnbeacX1j3Utw,Déjeuner en Ville,"[{'alias': 'bistros', 'title': 'Bistros'}]",243,5 rue de la République,43.2969,5.37363,21,4.5
117,3z7M4qMIUIO7-sdcGGtJMQ,Bobolivo,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'french', 'title': 'French'}]",337,29 rue Caisserie,43.29676,5.36694,59,4.0
118,FHHCjx0O5Gq0udJS1reGcA,Le Café des Épices,"[{'alias': 'french', 'title': 'French'}]",164,4 rue du Lacydon,43.29689,5.36919,112,3.5
119,DEHMfZxRq9HXrLx1GEnGfg,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",307,2 rue de la République,43.296495,5.3742438,68,3.5
120,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",333,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
121,_HmsDLwMLKrbmndlNQ7ZoQ,Vinonéo,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",270,6 place Daviel,43.2977099227985,5.36929702883606,56,4.5
122,3z7M4qMIUIO7-sdcGGtJMQ,Bobolivo,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'french', 'title': 'French'}]",119,29 rue Caisserie,43.29676,5.36694,59,4.0
123,hzeFLbv6RsGfVB3C9MJ5Nw,Carmine,"[{'alias': 'italian', 'title': 'Italian'}]",48,134 quai du Port,43.296061,5.36774,54,4.0
