,name,Latitude,Longitude,Empty Slots,free_bikes,timestamp
121,Prado - Paradis,43.26946672,5.386439042,,0,2023-10-30T03:33:01.781000Z
122,Negresko - Paulet,43.26931867,5.389396978,,1,2023-10-30T03:33:01.783000Z
123,Louis Armand,43.29957938303167,5.413255322900113,,0,2023-10-30T03:33:01.799000Z
124,Huveaune - Curtel,43.27812844,5.407194838,,4,2023-10-30T03:33:01.811000Z
125,Huveaune - Borely,43.26201967835499,5.3792991458357164,,1,2023-10-30T03:33:01.845000Z
126,Rolland - Platanes,43.271387568961586,5.40926929141915,,4,2023-10-30T03:33:01.987000Z
127,Clot Bey - Leau,43.25575639,5.38230303,,0,2023-10-30T03:33:02.040000Z
128,Escale Borély,43.25494658454127,5.3764543491352015,,2,2023-10-30T03:33:02.055000Z
129,Mazargues - Saint Anne,43.258223500058506,5.394368605955606,,1,2023-10-30T03:33:02.093000Z
130,Boulevard Urbain Sud - Verdillon,43.27502818,5.424533793,,1,2023-10-30T03:33:02.159000Z
131,Boulevard urbain sud - François Mauriac,43.27072082477898,5.422763624666231,,2,2023-10-30T03:33:02.193000Z
132,Mazargues - Almeras,43.25096566135139,5.395186297530245,,12,2023-10-30T03:33:02.338000Z
133,Lapin Blanc,43.24693037,5.38209613,,6,2023-10-30T03:33:02.357000Z
134,Plage de la Pointe Rouge,43.243884231063475,5.370736380062908,,2,2023-10-30T03:33:02.359000Z
135,Lancier - Savary,43.245581297728705,5.395069220467349,,0,2023-10-30T03:33:02.361000Z
136,Corail - Marseilleveyre,43.24062346787065,5.377642413176545,,9,2023-10-30T03:33:02.362000Z
137,Parc Pastré,43.23958841257124,5.366238242702252,,3,2023-10-30T03:33:02.363000Z
138,Roy d'Espagne - Floralia,43.24178222403938,5.397261332914354,,5,2023-10-30T03:33:02.364000Z
139,Madrague de Montredon,43.231922566975584,5.355545384096217,,1,2023-10-30T03:33:02.364000Z
140,Luminy - Parc National des Calanques,43.23156159,5.436933396,,7,2023-10-30T03:33:02.368000Z
141,Char Jeanne d'Arc - Notre Dame de La Garde,43.286038666099785,5.370678521004038,,4,2023-10-30T03:33:01.220000Z
142,Cours Julien - Frères Barthelemy,43.29264247456925,5.384253993651782,,0,2023-10-30T03:33:01.265000Z
143,National - Guibal,43.30536406,5.384119039,,0,2023-10-30T03:33:01.408000Z
144,Saint-Eugène,43.28453826179185,5.358657022621628,,6,2023-10-30T03:33:01.437000Z
145,Chave - Goudard,43.295196228553976,5.393969861741993,,3,2023-10-30T03:33:01.486000Z
146,Périer - Cremieux,43.2790871519652,5.380114290305642,,0,2023-10-30T03:33:01.519000Z
147,Prado - Périer,43.27974223,5.387440377,,0,2023-10-30T03:33:01.548000Z
148,Prado - Gabes,43.2668101,5.382693941,,0,2023-10-30T03:33:01.798000Z
149,Gèze,43.3283706355171,5.366912086186176,,7,2023-10-30T03:33:01.799000Z
150,Mazargues - Huveaune,43.265570946669925,5.390032250158811,,6,2023-10-30T03:33:01.813000Z
151,Mendès France Huveaune,43.260224964054686,5.375454850246569,,0,2023-10-30T03:33:01.907000Z
152,318 Mazargues,43.26069975,5.393983394,,2,2023-10-30T03:33:02.013000Z
153,Hambourg Rond Point Guerre,43.25002314043684,5.389189832781312,,3,2023-10-30T03:33:02.281000Z
154,Vieille Chapelle,43.2479001,5.374457344,,0,2023-10-30T03:33:02.301000Z
155,Zenatti - Malrieu,43.24646666954729,5.388984457266133,,5,2023-10-30T03:33:02.358000Z
156,Capelette - Forges,43.27946481,5.410561214,,1,2023-10-30T03:33:01.812000Z
157,Place Dalmas,43.32287191,5.382756282,,1,2023-10-30T03:33:01.757000Z
158,Rabateau - Hôpital Saint-Joseph,43.27410312139213,5.394016006213974,,2,2023-10-30T03:33:01.779000Z
159,Sormiou,43.23179293755999,5.400044027608033,,15,2023-10-30T03:33:02.366000Z
160,Livon - Vieux-Port,43.2923113,5.360730586,,1,2023-10-30T03:33:01.134000Z
161,Perrin - Le Moulin,43.31917923,5.407725382,,1,2023-10-30T03:33:01.861000Z
162,Strasbourg - Leca,43.307945169999996,5.376487141,,1,2023-10-30T03:33:01.368000Z
163,Saint-Just - Labry,43.31260893,5.401662431,,0,2023-10-30T03:33:01.777000Z
164,Peupliers - Berthelot,43.3371680327555,5.391824847426392,,0,2023-10-30T03:33:02.121000Z
165,IUT Saint Jérôme,43.34080437,5.41021883,,4,2023-10-30T03:33:02.361000Z
166,Sadi-Carnot,43.29972361,5.371828908,,0,2023-10-30T03:33:00.929000Z
167,Hôpital Sainte-Marguerite,43.25900934682247,5.409290356125894,,7,2023-10-30T03:33:02.221000Z
168,Foch - Boisson,43.297946098534624,5.404062681086202,,0,2023-10-30T03:33:01.638000Z
169,Sainte Marguerite Schloesing,43.26949,5.40262,,3,2023-10-30T03:33:01.877000Z
170,Promenade Pompidou David,43.26178214,5.374514856,,1,2023-10-30T03:33:01.829000Z
171,Base Nautique Roucas Blanc,43.26571391,5.372890521,,5,2023-10-30T03:33:01.793000Z
172,Tobelem - Crinias,43.28727,5.36078,,4,2023-10-30T03:33:01.277000Z
173,Boulevard Urbain Sud - Pont de Vivaux,43.28154806631724,5.426429873252573,,7,2023-10-30T03:33:02.122000Z
174,Lieutaud - Berlioz,43.2893069,5.38406028,,2,2023-10-30T03:33:01.389000Z
175,Corse - Saint Maurice,43.28946766,5.363719459,,3,2023-10-30T03:33:01.177000Z
176,Beaumont,43.30805059284097,5.43527038728962,,3,2023-10-30T03:33:02.321000Z
177,Palais Omnisports,43.27995154116266,5.400084718244955,,0,2023-10-30T03:33:01.737000Z
